<br><span style="">son</span><br>	<span style="font-size: 32px; ">儿</span><br><span style="">ér</span><br><span style="">哪儿, nǎr, where<br>儿子, érzi, son<br>一会儿, yīhuìr, a while <br>这儿, zhèr, this, <br>儿童, értóng, child</span>
<span style="font-size: 32px; ">二</span>	<span style="">èr</span><br><span style="">two</span><br><span style="">二哥, èrgē, second elder brother</span>
<br><span style="">two</span><br>	<span style="font-size: 32px; ">二</span><br><span style="">èr</span><br><span style="">二哥, èrgē, second elder brother</span>
<span style="font-size: 32px; ">耳</span>	<span style="">ěr</span><br><span style="">ear</span><br><span style="">木耳, mù'ěr, fungus (&quot;wood ear&quot;)</span>
<br><span style="">ear</span><br>	<span style="font-size: 32px; ">耳</span><br><span style="">ěr</span><br><span style="">木耳, mù'ěr, fungus (&quot;wood ear&quot;)</span>
<span style="font-size: 32px; ">而</span>	<span style="">ér</span><br><span style="">and</span><br><span style="">而且, érqiě, furthermore</span>
<br><span style="">and</span><br>	<span style="font-size: 32px; ">而</span><br><span style="">ér</span><br><span style="">而且, érqiě, furthermore</span>
<span style="font-size: 32px; ">法</span>	<span style="">fǎ</span><br><span style="">law</span><br><span style="">法语, Fǎyǔ, French<br>法国, Fǎguó, France<br>书法, shūfǎ, calligraphy</span>
<br><span style="">law</span><br>	<span style="font-size: 32px; ">法</span><br><span style="">fǎ</span><br><span style="">法语, Fǎyǔ, French<br>法国, Fǎguó, France<br>书法, shūfǎ, calligraphy</span>
<span style="font-size: 32px; ">发</span>	<span style="">fā</span><br><span style="">emit</span><br><span style="">发票, fāpiào, receipt<br>发烧, fāshāo, fever<br>发炎, fāyán, inflammation</span>
<br><span style="">emit</span><br>	<span style="font-size: 32px; ">发</span><br><span style="">fā</span><br><span style="">发票, fāpiào, receipt<br>发烧, fāshāo, fever<br>发炎, fāyán, inflammation</span>
<span style="font-size: 32px; ">帆</span>	<span style="">fān</span><br><span style="">sail (name)</span><br><span style=""></span>
<br><span style="">sail (name)</span><br>	<span style="font-size: 32px; ">帆</span><br><span style="">fān</span><br><span style=""></span>
<span style="font-size: 32px; ">饭</span>	<span style="">fàn</span><br><span style="">food</span><br><span style="">米饭, mǐfàn, rice<br>早饭, zǎofàn, breakfast<br>晚饭, wǎnfàn, dinner<br>饭店, fàndiǎn, restaurant/hotel</span>
<br><span style="">food</span><br>	<span style="font-size: 32px; ">饭</span><br><span style="">fàn</span><br><span style="">米饭, mǐfàn, rice<br>早饭, zǎofàn, breakfast<br>晚饭, wǎnfàn, dinner<br>饭店, fàndiǎn, restaurant/hotel</span>
<span style="font-size: 32px; ">方</span>	<span style="">fāng</span><br><span style="">square</span><br><span style="">地方, dìfang, place，<br>方便, fāngbiàn, convenient<br>西方, xīfāng, the West</span>
<br><span style="">square</span><br>	<span style="font-size: 32px; ">方</span><br><span style="">fāng</span><br><span style="">地方, dìfang, place，<br>方便, fāngbiàn, convenient<br>西方, xīfāng, the West</span>
<span style="font-size: 32px; ">房</span>	<span style="">fáng</span><br><span style="">room</span><br><span style="">房间, fángjiān, room<br>退房, tuìfáng, check out</span>
<br><span style="">room</span><br>	<span style="font-size: 32px; ">房</span><br><span style="">fáng</span><br><span style="">房间, fángjiān, room<br>退房, tuìfáng, check out</span>
<span style="font-size: 32px; ">放</span>	<span style="">fàng</span><br><span style="">put</span><br><span style="">放松, fàngsōng, relax</span>
<br><span style="">put</span><br>	<span style="font-size: 32px; ">放</span><br><span style="">fàng</span><br><span style="">放松, fàngsōng, relax</span>
<span style="font-size: 32px; ">费</span>	<span style="">fèi</span><br><span style="">cost</span><br><span style="">免费, miǎnfèi, free<br>收费, shōufèi, charge</span>
<br><span style="">cost</span><br>	<span style="font-size: 32px; ">费</span><br><span style="">fèi</span><br><span style="">免费, miǎnfèi, free<br>收费, shōufèi, charge</span>
<span style="font-size: 32px; ">啡</span>	<span style="">fēi</span><br><span style="">[none, used for sound - fei]</span><br><span style="">咖啡, kāfēi, coffee</span>
